#skipped n median low_quartile hi_quartile mean avg_dev std_dev vari skew kurt conf_lo conf_hi
146000 32 247.5 5 361.5 216.906 175.543 196.377 38564.1 0.154163 -1.5006 15.000000 333.000000
147000 32 220.5 4 347 217.094 172.094 202.263 40910.3 0.34187 -1.28811 14.000000 330.000000
148000 32 242 3 355 218.875 170.328 201.867 40750.4 0.345639 -1.20729 7.000000 306.000000
149000 32 236 5.5 355 219.562 166.805 201.63 40654.6 0.40498 -0.954733 9.000000 284.000000
150000 32 215.5 9 420.5 217.562 170.625 199.953 39981.2 0.304503 -1.40993 21.000000 298.000000
151000 32 226 8.5 427.5 225.406 171.344 205.917 42401.9 0.392239 -1.11743 21.000000 298.000000
152000 32 265.5 8 446.5 234.781 179.371 205.055 42047.4 0.158241 -1.49463 23.000000 324.000000
153000 32 250 5.5 432 225.25 177.188 201.423 40571.4 0.156981 -1.56067 16.000000 317.000000
154000 32 245.5 2.5 451 240.219 187.156 212.025 44954.7 0.11205 -1.5942 24.000000 392.000000
155000 32 261.5 8.5 482 249.594 189.395 220.808 48756.1 0.180748 -1.50258 27.000000 368.000000
156000 32 296 4 418 246.531 188.027 214.387 45961.9 0.181291 -1.35828 29.000000 358.000000
157000 32 285.5 3 456 243.062 195.871 217.214 47181.9 0.169158 -1.49168 21.000000 365.000000
158000 32 271.5 8 444 251.25 189.859 214.867 46167.7 0.086859 -1.5545 46.000000 394.000000
159000 32 212 5 424 236.406 183.932 206.074 42466.4 0.148363 -1.50914 45.000000 378.000000
160000 32 259 4 448 246.406 183.881 210.45 44289 0.145448 -1.44502 56.000000 395.000000
161000 32 234 6.5 445.5 242.781 186.705 213.297 45495.5 0.217995 -1.39273 40.000000 358.000000
162000 32 275.5 5.5 450 254.344 192.635 219.107 48008 0.143766 -1.47791 37.000000 399.000000
163000 32 295.5 6.5 445 256.094 193.463 218.418 47706.2 0.0885546 -1.44628 31.000000 398.000000
164000 32 271 5.5 474.5 255.094 199.344 223.977 50165.9 0.198773 -1.35448 48.000000 378.000000
165000 32 287.5 3 464.5 267 198.375 227.215 51626.5 0.106252 -1.43632 48.000000 436.000000
166000 32 282 4 466.5 263.688 197.457 225.479 50840.8 0.167229 -1.28849 53.000000 414.000000
167000 32 291.5 5.5 472.5 263.344 197.322 228.729 52317 0.257862 -1.27845 97.000000 375.000000
168000 32 277 6 448.5 257.625 195.75 219.064 47989.1 0.0963291 -1.52886 59.000000 396.000000
169000 32 284 9.5 444.5 257.406 189.156 212.53 45168.9 0.0136642 -1.55865 53.000000 399.000000
170000 32 319.5 10 446.5 274 198.5 223.781 50077.8 -0.0216822 -1.55107 58.000000 424.000000
171000 32 309 8.5 494 282.812 213.938 236.047 55718.1 0.0156377 -1.61299 78.000000 452.000000
172000 32 333 14.5 513 291.5 213.844 238.971 57107.2 0.00235934 -1.57329 91.000000 457.000000
173000 32 323 14 485.5 277.562 197.777 222.549 49528 -0.123455 -1.65244 52.000000 462.000000
174000 32 338 13.5 450.5 274.875 195.828 219.145 48024.4 -0.0918633 -1.59991 82.000000 427.000000
175000 32 340 10.5 512 283 207.062 229.074 52475.1 -0.0858278 -1.65779 82.000000 437.000000
176000 32 341 9.5 487.5 275.25 192.922 216.908 47049 -0.136389 -1.63011 106.000000 433.000000
177000 32 307.5 9.5 490 281.844 200.488 226.741 51411.7 -0.080113 -1.64355 94.000000 449.000000
178000 32 341 8 491.5 290.938 197.074 225.982 51067.9 -0.153191 -1.56332 139.000000 438.000000
179000 32 334 9.5 475.5 285.188 193.863 223.32 49871.9 -0.0214433 -1.3932 141.000000 421.000000
180000 32 263 17 491.5 273.281 190.281 219.489 48175.2 0.12021 -1.32434 148.000000 440.000000
181000 32 325 7 460 273.719 194.691 221.083 48877.8 -0.00276402 -1.51719 108.000000 401.000000
182000 32 316.5 8 469.5 281.344 198.529 227.477 51746 0.00513553 -1.415 94.000000 428.000000
183000 32 357.5 10.5 474.5 281.281 195.059 221.353 48997.2 -0.0631213 -1.42513 122.000000 425.000000
184000 32 370.5 8.5 472.5 294.094 196.633 218.222 47620.9 -0.340279 -1.61049 133.000000 456.000000
185000 32 363 13.5 527.5 305.281 207.541 237.144 56237.5 -0.109535 -1.49786 97.000000 460.000000
186000 32 359.5 5 529 304.312 208.023 237.483 56398.3 -0.123838 -1.5613 92.000000 476.000000
187000 32 382.5 22 524.5 310.094 207.02 236.381 55876 -0.156526 -1.54623 120.000000 464.000000
188000 32 395.5 9 510.5 312.219 204.004 233.959 54737 -0.274488 -1.52704 167.000000 488.000000
189000 32 362 8 480.5 293.031 194.65 222.851 49662.7 -0.210396 -1.50919 152.000000 436.000000
190000 32 363 8 515.5 307.938 210.758 237.804 56550.9 -0.217731 -1.61231 96.000000 496.000000
191000 32 344 17.5 513 294.781 195.947 223.047 49749.9 -0.261555 -1.60593 79.000000 458.000000
192000 32 351 6 511.5 305.969 204.037 233.823 54673.3 -0.18457 -1.51179 150.000000 452.000000
193000 32 380 12 530 309.562 214.867 242.524 58817.8 -0.134815 -1.58832 118.000000 478.000000
194000 32 395 16 538 316.75 217.609 244.005 59538.4 -0.152585 -1.53235 155.000000 480.000000
195000 32 403 8 514.5 315.312 212.379 239.738 57474.2 -0.218593 -1.54864 168.000000 459.000000
196000 32 409.5 5.5 512 320.969 216.225 242.95 59024.7 -0.246408 -1.5098 187.000000 486.000000
197000 32 412 4 531.5 326.125 217.289 245.419 60230.2 -0.228149 -1.47063 172.000000 465.000000
198000 32 412 11.5 536 324.688 214.184 240.968 58065.7 -0.252322 -1.50794 153.000000 474.000000
199000 32 425 12.5 521.5 324.75 216.484 240.733 57952.4 -0.291785 -1.53568 180.000000 487.000000
200000 32 383.5 11.5 524.5 325.469 218.631 248.47 61737.4 -0.170056 -1.52375 157.000000 477.000000
201000 32 397 8 524 315.344 213.217 239.558 57388 -0.236651 -1.57069 124.000000 479.000000
202000 32 354.5 8 526 311.531 209.119 238.72 56987.2 -0.212461 -1.56802 132.000000 465.000000
203000 32 393 8 554 323.531 221.748 250.707 62853.9 -0.177392 -1.5901 142.000000 504.000000
204000 32 365.5 12 513 312.312 207.023 236.739 56045.2 -0.202153 -1.5692 160.000000 466.000000
205000 32 420.5 8.5 510.5 330.844 219.508 248.12 61563.3 -0.280663 -1.52489 162.000000 482.000000
206000 32 400.5 11.5 551 334.562 225.484 255.933 65501.8 -0.205963 -1.52576 126.000000 514.000000
207000 32 400.5 10 582.5 336.156 228.627 259.929 67563.2 -0.156488 -1.46251 111.000000 508.000000
208000 32 390.5 10.5 566.5 337.906 225.242 255.953 65512.1 -0.226555 -1.53103 169.000000 515.000000
209000 32 414 5 549 333.469 225.539 252.243 63626.5 -0.275263 -1.53503 148.000000 517.000000
210000 32 452.5 9 536.5 334.062 223.426 249.83 62415.1 -0.335467 -1.60354 166.000000 529.000000
211000 32 419.5 6 516.5 329.031 219.023 246.765 60892.9 -0.288237 -1.50745 164.000000 476.000000
212000 32 425 6.5 514.5 329 217.875 247.356 61185.1 -0.255462 -1.5058 154.000000 496.000000
213000 32 413 16.5 563 344.719 222.852 259.163 67165.4 -0.187781 -1.39 194.000000 490.000000
214000 32 431.5 15.5 590.5 349.062 231.109 260.221 67715 -0.277956 -1.54644 168.000000 494.000000
215000 32 431.5 13.5 561.5 342.062 228.422 255.894 65481.9 -0.278828 -1.58724 167.000000 493.000000
216000 32 433 7.5 550.5 336.469 225.039 248.019 61513.4 -0.365987 -1.58458 174.000000 502.000000
217000 32 457 15.5 556 346.625 228.031 254.609 64825.9 -0.328385 -1.48224 213.000000 504.000000
218000 32 443.5 14 553.5 349.219 227.852 255.259 65157.3 -0.364491 -1.55315 191.000000 528.000000
219000 32 430 17 562 346.875 227.594 254.44 64739.5 -0.349385 -1.59636 216.000000 538.000000
220000 32 442 12.5 556.5 351.562 230.734 261.233 68242.6 -0.292552 -1.51781 209.000000 534.000000
221000 32 439.5 18.5 550 340.344 220.717 247.64 61325.5 -0.387461 -1.57053 163.000000 527.000000
222000 32 439 18 578 351.656 229.43 259.788 67489.9 -0.314417 -1.51622 150.000000 516.000000
223000 32 456.5 9.5 573 352.25 238.312 266.312 70922 -0.273373 -1.57064 138.000000 515.000000
224000 32 436 17 576.5 349.844 227.436 260.918 68078.4 -0.248932 -1.50724 186.000000 497.000000
225000 32 431 9 561.5 353.906 235.992 267.649 71636 -0.263471 -1.54298 123.000000 540.000000
226000 32 508.5 12 575 357.688 244.496 270.385 73108 -0.324148 -1.64312 102.000000 543.000000
227000 32 468 8 607.5 369.781 248.336 275.504 75902.6 -0.349812 -1.61542 126.000000 575.000000
228000 32 489 21.5 607.5 368.25 243.641 271.428 73673 -0.341397 -1.58099 129.000000 568.000000
229000 32 497.5 26 599.5 370.594 239.82 266.752 71156.4 -0.42296 -1.59058 164.000000 570.000000
230000 32 483 34 582 369.938 236.016 263.275 69313.6 -0.420225 -1.55342 177.000000 552.000000
231000 32 471.5 52 600.5 373.469 234.289 260.614 67919.7 -0.443019 -1.57047 192.000000 583.000000
232000 32 486.5 43 609 375.062 242.734 273.059 74561.3 -0.286512 -1.53456 169.000000 539.000000
233000 32 449.5 26 614 363.688 239.453 267.276 71436.7 -0.314714 -1.62375 178.000000 565.000000
234000 32 473 39.5 602 364.438 238.73 265.441 70458.8 -0.336239 -1.61484 153.000000 560.000000
235000 32 496 22.5 590 370.688 239.266 264.783 70110.2 -0.428726 -1.59092 213.000000 568.000000
236000 32 495.5 26 591.5 363.031 232.336 256.468 65775.6 -0.468346 -1.60811 182.000000 559.000000
237000 32 488.5 32.5 615 378.781 244.572 272.297 74145.7 -0.355402 -1.60262 194.000000 570.000000
238000 32 488.5 37.5 613 376.344 240.404 268.372 72023.8 -0.387968 -1.55939 204.000000 569.000000
239000 32 485.5 40 588.5 369.5 232.531 257.589 66352.2 -0.438985 -1.5604 236.000000 537.000000
240000 32 520.5 54 585 390.906 239.555 269.697 72736.5 -0.414674 -1.44684 260.000000 565.000000
241000 32 483 40.5 623 377.031 238.088 266.123 70821.6 -0.402211 -1.57614 239.000000 565.000000
242000 32 489.5 35.5 615 390.75 242.062 274.884 75561.1 -0.372967 -1.45975 257.000000 584.000000
243000 32 502.5 81.5 599.5 380.625 233.508 260.04 67620.8 -0.44816 -1.53645 239.000000 581.000000
244000 32 500.5 66 575.5 374.344 222.633 248.942 61972.1 -0.482376 -1.48878 219.000000 554.000000
245000 32 504 88 587 379.219 228.477 254.942 64995.5 -0.445346 -1.49114 240.000000 557.000000
246000 32 498.5 98.5 634.5 389.812 235.785 265.4 70437.1 -0.313284 -1.46599 231.000000 541.000000
247000 32 521.5 63 639.5 401.281 246.041 276.577 76495 -0.391538 -1.5568 275.000000 618.000000
248000 32 501.5 84.5 620 395.5 240.625 269.106 72418.1 -0.396541 -1.51996 264.000000 586.000000
249000 32 498 110 608.5 399.75 235.5 267.598 71608.9 -0.336664 -1.40762 285.000000 544.000000
250000 32 477 104.5 586.5 379 222.188 250.601 62801 -0.453788 -1.4505 286.000000 543.000000
251000 32 494 159.5 583 389.844 219.508 250.004 62501.9 -0.435506 -1.33655 236.000000 544.000000
252000 32 506 124.5 586.5 393.438 226.016 255.761 65413.9 -0.40465 -1.34367 257.000000 526.000000
253000 32 530.5 137.5 596 402.594 231.295 259.231 67200.6 -0.428568 -1.45528 253.000000 572.000000
254000 32 536.5 131.5 611 407.906 227.805 258.167 66650.2 -0.469082 -1.38629 273.000000 568.000000
255000 32 484 162 625.5 404.125 223.531 253.898 64464 -0.444927 -1.39429 268.000000 567.000000
256000 32 498 172.5 617.5 401.781 218.836 247.916 61462.2 -0.44556 -1.37561 256.000000 569.000000
257000 32 542 195.5 614 416.156 219.242 249.219 62110.1 -0.556059 -1.23666 302.000000 580.000000
258000 32 518.5 225 618.5 415.406 218.242 245.836 60435.2 -0.603772 -1.25875 266.000000 590.000000
259000 32 488 248.5 614 417.188 200.402 240.481 57831.1 -0.553239 -1.05743 319.000000 580.000000
260000 32 500.5 234.5 619.5 415 207.75 244.997 60023.6 -0.490183 -1.12356 309.000000 539.000000
261000 32 513 246 621.5 415.5 212.656 248.68 61841.8 -0.476367 -1.15042 326.000000 557.000000
262000 32 504 219.5 602.5 415.219 210.852 243.259 59175 -0.558211 -1.20271 314.000000 589.000000
263000 32 496 274.5 632 422.688 204.891 242.315 58716.6 -0.612206 -1.09925 341.000000 599.000000
